,Id,URL,Price,Specs,Availability
137,1885160,https://housinganywhere.com/room/1885160/de/Berlin/hermannstra-e,€1050/Month (Bills included),Private room•9 m²•3 housemates,From 16 Jan 2023
138,1885157,https://housinganywhere.com/room/1885157/de/Berlin/hermannstra-e,€1050/Month (Bills included),Private room•12 m²•2 housemates,From 16 Jan 2023
139,1885154,https://housinganywhere.com/room/1885154/de/Berlin/hermannstra-e,€1050/Month (Bills included),Private room•12 m²•2 housemates,From 16 Jan 2023
140,1880031,https://housinganywhere.com/room/1880031/de/Berlin/wedekindstra-e,€1175/Month (Bills included),Private room•18 m²•1 housemate,From 19 Jan 2023
141,1892178,https://housinganywhere.com/room/1892178/de/Berlin/richard-sorge-stra-e,€1025/Month (Bills included),Private room•11 m²•3 housemates,From 4 Feb 2023
142,1882812,https://housinganywhere.com/room/1882812/de/Berlin/heidekampweg,€900/Month (Bills included),Private room•26 m²•1 housemate,From 18 Dec 2022
143,1895102,https://housinganywhere.com/room/1895102/de/Berlin/gro-e-hamburger-stra-e,€3000/Month (Bills included),Apartment•1 bedroom•85 m²,From 4 Jan 2023
144,1644460,https://housinganywhere.com/room/1644460/de/Berlin/immanuelkirchstra-e,€1500/Month (Bills included),Apartment•1 bedroom•30 m²,From 17 Feb 2023
145,1895607,https://housinganywhere.com/room/1895607/de/Berlin/erasmusstra-e,€1065/Month (Bills included),Private room•22 m²•1 housemate,From 19 Feb 2023
146,1647252,https://housinganywhere.com/room/1647252/de/Berlin/emser-stra-e,€1500/Month (Bills included),Studio•37 m²•Space for 2 people,From 1 Mar 2023
147,1579283,https://housinganywhere.com/room/1579283/de/Berlin/leipziger-stra-e,€1690/Month (Bills included),Apartment•1 bedroom•50 m²,From 1 Mar 2023
148,1891208,https://housinganywhere.com/room/1891208/de/Berlin/schreinerstra-e,€1500/Month (Bills included),Apartment•1 bedroom•40 m²,From 16 Mar 2023
149,1882526,https://housinganywhere.com/room/1882526/de/Berlin/l-bbener-stra-e,€1500/Month (Bills included),Apartment•1 bedroom•42 m²,From 18 Mar 2023
150,1394730,https://housinganywhere.com/room/1394730/de/Berlin/l-ckstra-e,€1300/Month (Bills included),Apartment•1 bedroom•56 m²,From 1 May 2023
151,1645242,https://housinganywhere.com/room/1645242/de/Berlin/k-nigin-elisabeth-stra-e,€800/Month (Bills included),Private room•18 m²•5 housemates,From 1 Jan 2023
152,1891186,https://housinganywhere.com/room/1891186/de/Berlin/cunostra-e,€1075/Month (Bills included),Private room•23 m²•5 housemates,From 4 Feb 2023
153,1883439,https://housinganywhere.com/room/1883439/de/Berlin/hagenauer-stra-e,€1795/Month (Bills included),Apartment•1 bedroom•50 m²,From 6 Jun 2023
154,1699284,https://housinganywhere.com/room/1699284/de/Berlin/gr-nberger-stra-e,€2100/Month (Bills included),Apartment•1 bedroom•52 m²,From 18 Dec 2022
155,1806452,https://housinganywhere.com/room/1806452/de/Berlin/goethestra-e,€875/Month (Bills included),Private room•20 m²•8 housemates,From 1 Mar 2023
156,1816574,https://housinganywhere.com/room/1816574/de/Berlin/kurf-rstendamm,€1500/Month (Some bills included),Studio•45 m²•Space for 2 people,From 1 Jan 2023
157,1880068,https://housinganywhere.com/room/1880068/de/Berlin/klara-franke-stra-e,€1050/Month (Bills included),Private room•14 m²•3 housemates,From 4 Jan 2023
158,1893490,https://housinganywhere.com/room/1893490/de/Berlin/klara-franke-stra-e,€1050/Month (Bills included),Private room•16 m²•3 housemates,From 19 Jan 2023
159,1695095,https://housinganywhere.com/room/1695095/de/Berlin/charlottenstra-e,€800/Month (Bills included),Private room•16 m²•2 housemates,From 1 Feb 2023
160,1687040,https://housinganywhere.com/room/1687040/de/Berlin/gr-nberger-stra-e,€900/Month (Bills included),Private room•17 m²•2 housemates,From 1 Feb 2023
161,1645168,https://housinganywhere.com/room/1645168/de/Berlin/lauterberger-stra-e,€800/Month (Bills included),Private room•16 m²•2 housemates,From 1 Feb 2023
162,1618954,https://housinganywhere.com/room/1618954/de/Berlin/lauterberger-stra-e,€800/Month (Bills included),Private room•18 m²•2 housemates,From 1 Feb 2023
163,1890797,https://housinganywhere.com/room/1890797/de/Berlin/klara-franke-stra-e,€1050/Month (Bills included),Private room•16 m²•3 housemates,From 4 Feb 2023
164,1890304,https://housinganywhere.com/room/1890304/de/Berlin/m-llerstra-e,€965/Month (Bills included),Private room•10 m²•2 housemates,From 4 Feb 2023
165,1884268,https://housinganywhere.com/room/1884268/de/Berlin/alt-moabit,€1200/Month (Bills included),Private room•20 m²•1 housemate,From 19 Feb 2023
